system:index,B1,B2,B3,B4,B5,B6,B7,EVI,MNDWI,NBR,NDBI,NDBaI,NDMI,NDWI,agbd,elevation,.geo
00000000000000000024_0,0.1476058941912551,0.15816833508076836,0.22992700705099559,0.19244294145092908,0.5195117900490805,0.3824297321077429,0.26127970325559796,0.72313505,0.26550177,0.7981217,0.351446,0.6817676,0.64855397,0.1637954,222.27611,0.5170484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,0.13828471097819375,0.13814634184337232,0.23788390025388434,0.1821482912354656,0.5133257575198553,0.3615985342890648,0.24583361581904672,0.71820396,0.3020608,0.81343883,0.3316455,0.6839013,0.6683545,0.17678897,214.189539,0.50369525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,0.1464332349833613,0.16309807522732186,0.25440494295512417,0.22158942889948519,0.5233091820329546,0.4125007575750619,0.2999791659432368,0.70522076,0.27555442,0.75267285,0.38322812,0.6540863,0.6167719,0.19116,127.430981,0.5062595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,0.08246211251235322,0.11658687747769904,0.20493901531919198,0.15255326938482833,0.5230726526975005,0.36866312535972456,0.2363472022258779,0.7386308,0.23607111,0.8304524,0.33188447,0.70871735,0.6681155,0.13307774,236.836474,0.5902633,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,0.07421253263431991,0.10608958478568943,0.1898222853091807,0.13797644726546623,0.45160546940886354,0.3276698033081474,0.21043407518745627,0.68734396,0.25127268,0.821607,0.3448838,0.70799536,0.6551162,0.15014793,206.546514,0.58916444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,0.07974960814950757,0.10699299042460679,0.19700253805471646,0.14497413562425537,0.48445071988799854,0.3449637662132068,0.21838612593294474,0.70949495,0.24592865,0.8311082,0.33645046,0.71388936,0.66354954,0.14189999,197.621738,0.5855072,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,0.08653034149938386,0.11384199576606159,0.19567191929349495,0.14871953469534524,0.47838138550742126,0.33571193008292094,0.2204228890111007,0.7043843,0.2535764,0.8248734,0.32997245,0.6987623,0.67002755,0.14332573,155.728393,0.5880533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,0.07835815209663897,0.11003408562804524,0.19546099355114305,0.14825653442597395,0.4669341495328865,0.3331009606710854,0.21942253758445143,0.6946304,0.25613222,0.8191172,0.3372697,0.69738847,0.6627303,0.14910287,181.720854,0.5894403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,0.08700574693662479,0.11504347004502254,0.20046196646745737,0.1528234275234003,0.48088980026613165,0.3644619321685051,0.24135554685981422,0.70428455,0.23225974,0.7987876,0.36483675,0.69514877,0.63516325,0.14804377,189.476986,0.583773,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,0.14465130486794786,0.157674946928448,0.2389853551998532,0.21104575925613858,0.4976302174640657,0.4022056377029044,0.2880060763247887,0.6911067,0.2609335,0.74908745,0.39513266,0.6610471,0.60486734,0.18741274,204.379624,0.50498563,"{""type"":""MultiPoint"",""coordinates"":[]}"
